"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_9_26_11_37_58","1","2","2","2","21","forced","NULL","1","NULL","actual_number: 7","4.63"
"2018_9_26_11_37_58","1","9","5","1","20","forced","NULL","1","NULL","actual_number: 7","12.68"
"2018_9_26_11_38_5","1","8","5","2","20","forced","NULL","5","NULL","actual_number: 7","1.1"
"2018_9_26_11_38_12","1","7","4","1","21","forced","NULL","6","NULL","actual_number: 7","4.72"
"2018_9_26_11_38_23","1","6","4","2","21","forced","NULL","1","NULL","actual_number: 7","4.18"
"2018_9_26_11_38_39","1","9","5","1","21","forced","NULL","6","NULL","actual_number: 7","6.77"
"2018_9_26_11_38_53","1","8","5","2","21","forced","NULL","3","NULL","actual_number: 7","8.19"
"2018_9_26_11_39_34","1","3","2","1","22","forced","NULL","3","NULL","actual_number: 7","6.19"
"2018_9_26_11_39_36","1","7","4","1","22","forced","NULL","6","NULL","actual_number: 7","5.62"
"2018_9_26_11_39_38","1","1","1","1","22","forced","NULL","3","NULL","actual_number: 7","6.2"
"2018_9_26_11_39_42","1","5","3","1","22","forced","NULL","5","NULL","actual_number: 7","7.57"
"2018_9_26_11_39_48","1","4","4","2","22","forced","NULL","2","NULL","actual_number: 7","2.12"
"2018_9_26_11_39_48","1","9","5","1","22","forced","NULL","2","NULL","actual_number: 7","7.02"
"2018_9_26_11_39_51","1","8","1","2","22","forced","NULL","6","NULL","actual_number: 7","6.37"
"2018_9_26_11_39_56","1","10","2","2","22","forced","NULL","6","NULL","actual_number: 7","4.87"
"2018_9_26_11_39_56","1","2","3","2","22","forced","NULL","5","NULL","actual_number: 7","8.74"
"2018_9_26_11_40_0","1","6","5","2","22","forced","NULL","4","NULL","actual_number: 7","4.82"
"2018_9_26_11_40_1","1","7","4","1","23","forced","NULL","5","NULL","actual_number: 7","2.48"
"2018_9_26_11_40_5","1","1","1","1","23","forced","NULL","3","NULL","actual_number: 7","3.26"
"2018_9_26_11_40_9","1","4","4","2","23","forced","NULL","1","NULL","actual_number: 7","1.68"
"2018_9_26_11_40_12","1","8","1","2","23","forced","NULL","3","NULL","actual_number: 7","1.36"
"2018_9_26_11_40_18","1","5","3","1","23","forced","NULL","1","NULL","actual_number: 7","6.74"
"2018_9_26_11_40_19","1","3","2","1","23","forced","NULL","2","NULL","actual_number: 7","8.53"
"2018_9_26_11_40_25","1","9","5","1","23","forced","NULL","5","NULL","actual_number: 7","7.83"
"2018_9_26_11_40_28","1","1","1","1","24","forced","NULL","1","NULL","actual_number: 7","3.97"
"2018_9_26_11_40_30","1","2","3","2","23","forced","NULL","6","NULL","actual_number: 7","7.12"
"2018_9_26_11_40_30","1","10","2","2","23","forced","NULL","3","NULL","actual_number: 7","3.45"
"2018_9_26_11_40_31","1","7","4","1","24","forced","NULL","4","NULL","actual_number: 7","6.43"
"2018_9_26_11_40_37","1","6","5","2","23","forced","NULL","5","NULL","actual_number: 7","2.53"
"2018_9_26_11_40_41","1","4","4","2","24","forced","NULL","4","NULL","actual_number: 7","1.58"
"2018_9_26_11_40_41","1","8","1","2","24","forced","NULL","6","NULL","actual_number: 7","5.81"
"2018_9_26_11_40_48","1","5","3","1","24","forced","NULL","4","NULL","actual_number: 7","5.93"
"2018_9_26_11_40_49","1","3","2","1","24","forced","NULL","4","NULL","actual_number: 7","6.52"
"2018_9_26_11_40_58","1","9","5","1","24","forced","NULL","3","NULL","actual_number: 7","6.93"
"2018_9_26_11_40_59","1","10","2","2","24","forced","NULL","1","NULL","actual_number: 7","4.3"
"2018_9_26_11_41_2","1","2","3","2","24","forced","NULL","1","NULL","actual_number: 7","9.23"
"2018_9_26_11_41_18","1","6","5","2","24","forced","NULL","4","NULL","actual_number: 7","2.74"
"2018_9_26_11_42_6","1","1","1","1","25","forced","NULL","6","NULL","actual_number: 7","5.03"
"2018_9_26_11_42_13","1","3","2","1","25","forced","NULL","4","NULL","actual_number: 7","8.67"
"2018_9_26_11_42_13","1","7","4","1","25","forced","NULL","3","NULL","actual_number: 7","7.22"
"2018_9_26_11_42_14","1","9","5","1","25","forced","NULL","4","NULL","actual_number: 7","6.91"
"2018_9_26_11_42_19","1","8","2","2","25","forced","NULL","6","NULL","actual_number: 7","1.37"
"2018_9_26_11_42_23","1","4","5","2","25","forced","NULL","5","NULL","actual_number: 7","3.36"
"2018_9_26_11_42_24","1","6","1","2","25","forced","NULL","6","NULL","actual_number: 7","3.09"
"2018_9_26_11_42_25","1","2","4","2","25","forced","NULL","2","NULL","actual_number: 7","6.89"
"2018_9_26_11_42_28","1","5","3","1","25","forced","NULL","2","NULL","actual_number: 7","7.72"
"2018_9_26_11_42_37","1","10","3","2","25","forced","NULL","6","NULL","actual_number: 7","3.53"
"2018_9_26_11_42_41","1","3","2","1","26","forced","NULL","3","NULL","actual_number: 7","6.86"
"2018_9_26_11_42_42","1","7","4","1","26","forced","NULL","5","NULL","actual_number: 7","5.12"
"2018_9_26_11_42_42","1","1","1","1","26","forced","NULL","4","NULL","actual_number: 7","4.98"
"2018_9_26_11_42_45","1","9","5","1","26","forced","NULL","5","NULL","actual_number: 7","7.97"
"2018_9_26_11_42_49","1","8","2","2","26","forced","NULL","3","NULL","actual_number: 7","1.49"
"2018_9_26_11_42_56","1","2","4","2","26","forced","NULL","3","NULL","actual_number: 7","8.07"
"2018_9_26_11_42_57","1","6","1","2","26","forced","NULL","2","NULL","actual_number: 7","4.21"
"2018_9_26_11_42_58","1","4","5","2","26","forced","NULL","1","NULL","actual_number: 7","3.67"
"2018_9_26_11_43_4","1","5","3","1","26","forced","NULL","3","NULL","actual_number: 7","5.66"
"2018_9_26_11_43_9","1","3","2","1","27","forced","NULL","1","NULL","actual_number: 7","7.45"
"2018_9_26_11_43_11","1","1","1","1","27","forced","NULL","1","NULL","actual_number: 7","2.49"
"2018_9_26_11_43_13","1","10","3","2","26","forced","NULL","6","NULL","actual_number: 7","2.62"
"2018_9_26_11_43_23","1","7","4","1","27","forced","NULL","5","NULL","actual_number: 7","4.03"
"2018_9_26_11_43_27","1","6","1","2","27","forced","NULL","5","NULL","actual_number: 7","11.08"
"2018_9_26_11_43_30","1","8","2","2","27","forced","NULL","6","NULL","actual_number: 7","8.47"
"2018_9_26_11_43_31","1","9","5","1","27","forced","NULL","3","NULL","actual_number: 7","16.06"
"2018_9_26_11_43_33","1","5","3","1","27","forced","NULL","4","NULL","actual_number: 7","5.2"
"2018_9_26_11_43_39","1","2","4","2","27","forced","NULL","6","NULL","actual_number: 7","10.73"
"2018_9_26_11_43_41","1","4","5","2","27","forced","NULL","3","NULL","actual_number: 7","3.42"
