Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,3,2,1,17,4,5.21,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,17,1,2.52,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,17,6,18.1,1,2,FirstMover,HighEffort,0,taut_geese
11,4,3,2,17,5,3.87,1,2,FirstMover,HighEffort,0,scary_pony
11,7,4,1,17,3,4.08,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,17,6,5.34,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,17,2,2.1,1,2,FirstMover,HighEffort,0,wavy_coypu
11,8,5,2,17,4,3.07,1,2,FirstMover,HighEffort,0,loopy_cub
11,11,6,1,17,2,4.63,1,2,FirstMover,HighEffort,1,cute_yapok
11,10,6,2,17,2,4.37,1,2,FirstMover,HighEffort,1,well_orca
11,1,1,1,18,6,2.92,1,2,FirstMover,HighEffort,0,fishy_clam
11,12,1,2,18,3,8.26,1,2,FirstMover,HighEffort,0,regal_asp
11,3,2,1,18,3,3.31,1,2,FirstMover,HighEffort,0,coy_kite
11,2,2,2,18,6,4.76,1,2,FirstMover,HighEffort,0,nerdy_joey
11,5,3,1,18,5,8.58,1,2,FirstMover,HighEffort,1,taut_geese
11,4,3,2,18,5,3.66,1,2,FirstMover,HighEffort,1,scary_pony
11,7,4,1,18,4,3.25,1,2,FirstMover,HighEffort,0,happy_lark
11,6,4,2,18,6,3.65,1,2,FirstMover,HighEffort,0,oozy_skink
11,9,5,1,18,5,3.17,1,2,FirstMover,HighEffort,1,wavy_coypu
11,8,5,2,18,5,2.77,1,2,FirstMover,HighEffort,1,loopy_cub
11,11,6,1,18,3,3.13,1,2,FirstMover,HighEffort,0,cute_yapok
11,10,6,2,18,6,4.93,1,2,FirstMover,HighEffort,0,well_orca
11,1,1,1,19,5,3.45,1,3,Joint,HighEffort,0,fishy_clam
11,10,1,2,19,4,6.33,1,3,Joint,HighEffort,0,well_orca
11,3,2,1,19,4,4.32,1,3,Joint,HighEffort,1,coy_kite
11,12,2,2,19,4,2.05,1,3,Joint,HighEffort,1,regal_asp
11,5,3,1,19,6,2.5,1,3,Joint,HighEffort,0,taut_geese
11,2,3,2,19,3,2.58,1,3,Joint,HighEffort,0,nerdy_joey
