date,group,subject,team,label,response,comment
2018_6_17_12_36_49,2,4,1,roll215,6,actual_number: 9; reaction_time: 2.52
2018_6_17_12_36_50,2,2,2,roll207,1,actual_number: 9; reaction_time: 1.91
2018_6_17_12_36_54,2,2,2,roll208,2,actual_number: 9; reaction_time: 1.77
2018_6_17_12_36_58,2,2,2,roll209,3,actual_number: 9; reaction_time: 1.74
2018_6_17_12_37_3,2,4,1,roll216,6,actual_number: 9; reaction_time: 1.39
2018_6_17_12_37_4,2,2,2,roll210,4,actual_number: 9; reaction_time: 1.7
2018_6_17_12_37_7,2,4,1,roll217,6,actual_number: 9; reaction_time: 1.63
2018_6_17_12_37_7,2,2,2,roll211,5,actual_number: 9; reaction_time: 1.52
2018_6_17_12_37_12,2,2,2,roll212,6,actual_number: 9; reaction_time: 2.07
2018_6_17_12_37_13,2,3,2,roll208,6,actual_number: 9; reaction_time: 80.41
2018_6_17_12_37_15,2,4,1,roll218,6,actual_number: 9; reaction_time: 5.72
2018_6_17_12_37_18,2,2,2,roll213,1,actual_number: 9; reaction_time: 1.94
2018_6_17_12_37_23,2,2,2,roll214,2,actual_number: 9; reaction_time: 2.06
2018_6_17_12_37_27,2,2,2,roll215,3,actual_number: 9; reaction_time: 1.8
2018_6_17_12_37_28,2,3,2,roll209,6,actual_number: 9; reaction_time: 12.55
2018_6_17_12_37_36,2,3,2,roll210,6,actual_number: 9; reaction_time: 3.01
2018_6_17_12_37_50,2,2,2,roll216,4,actual_number: 9; reaction_time: 16
2018_6_17_12_37_51,2,3,2,roll211,6,actual_number: 9; reaction_time: 12.87
2018_6_17_12_37_54,2,2,2,roll217,5,actual_number: 9; reaction_time: 2.24
2018_6_17_12_37_56,2,3,2,roll212,6,actual_number: 9; reaction_time: 3.05
2018_6_17_12_37_58,2,2,2,roll218,6,actual_number: 9; reaction_time: 1.93
2018_6_17_12_38_4,2,3,2,roll213,6,actual_number: 9; reaction_time: 2.74
2018_6_17_12_38_9,2,3,2,roll214,6,actual_number: 9; reaction_time: 2.56
2018_6_17_12_38_14,2,3,2,roll215,6,actual_number: 9; reaction_time: 2.57
2018_6_17_12_38_21,2,3,2,roll216,6,actual_number: 9; reaction_time: 2.02
2018_6_17_12_38_27,2,3,2,roll217,6,actual_number: 9; reaction_time: 3.36
2018_6_17_12_38_30,2,1,1,pid,5450,
2018_6_17_12_38_31,2,3,2,roll218,6,actual_number: 9; reaction_time: 2.08
2018_6_17_12_39_16,2,2,2,pid,5451,
2018_6_17_12_39_37,2,4,1,pid,123,
2018_6_17_12_39_53,2,3,2,pid,456,
2018_6_17_20_3_11,3,2,1,Q1,d,
2018_6_17_20_3_11,3,2,1,Q2,d,
2018_6_17_20_3_11,3,2,1,Q3,b,
2018_6_17_20_3_29,3,1,1,Q1,d,
2018_6_17_20_3_29,3,1,1,Q2,d,
2018_6_17_20_3_29,3,1,1,Q3,b,
2018_6_17_20_4_0,3,3,2,Q1,d,
2018_6_17_20_4_0,3,3,2,Q2,d,
2018_6_17_20_4_0,3,3,2,Q3,b,
2018_6_17_20_47_20,3,1,1,roll101,2,actual_number: 8; reaction_time: 6.08
2018_6_17_20_47_25,3,1,1,roll102,2,actual_number: 8; reaction_time: 2.36
2018_6_17_20_47_29,3,1,1,roll103,2,actual_number: 8; reaction_time: 1.69
2018_6_17_20_47_35,3,1,1,roll104,2,actual_number: 8; reaction_time: 1.91
2018_6_17_20_47_39,3,1,1,roll105,3,actual_number: 8; reaction_time: 1.61
2018_6_17_20_47_43,3,1,1,roll106,3,actual_number: 8; reaction_time: 1.98
2018_6_17_20_47_49,3,1,1,roll107,4,actual_number: 8; reaction_time: 2.37
2018_6_17_20_47_53,3,1,1,roll108,4,actual_number: 8; reaction_time: 1.58
2018_6_17_20_47_57,3,1,1,roll109,4,actual_number: 8; reaction_time: 1.64
2018_6_17_20_48_3,3,1,1,roll110,5,actual_number: 8; reaction_time: 2.05
