Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_41_46,11,7,4,1,22,5,4.06
2019_3_4_11_41_49,11,2,3,2,22,6,2.3
2019_3_4_11_41_51,11,6,5,2,22,2,4.42
2019_3_4_11_41_52,11,3,2,1,23,5,2.03
2019_3_4_11_41_53,11,8,6,2,23,6,8.49
2019_3_4_11_41_53,11,1,1,1,23,6,4.01
2019_3_4_11_42_5,11,9,5,1,23,6,2.27
2019_3_4_11_42_8,11,10,1,2,23,4,3.03
2019_3_4_11_42_10,11,11,6,1,24,6,3.52
2019_3_4_11_42_12,11,12,2,2,23,2,7.82
2019_3_4_11_42_15,11,5,3,1,23,6,12.51
2019_3_4_11_42_19,11,8,6,2,24,5,1.74
2019_3_4_11_42_23,11,6,5,2,23,2,10.51
2019_3_4_11_42_23,11,2,3,2,23,6,1.97
2019_3_4_11_42_25,11,4,4,2,22,5,6.58
2019_3_4_11_42_27,11,1,1,1,24,4,4.03
2019_3_4_11_42_30,11,3,2,1,24,4,2.52
2019_3_4_11_42_35,11,10,1,2,24,4,2.48
2019_3_4_11_42_40,11,7,4,1,23,4,1.82
2019_3_4_11_42_40,11,9,5,1,24,3,2.14
2019_3_4_11_42_41,11,12,2,2,24,4,1.97
2019_3_4_11_42_50,11,5,3,1,24,6,12.56
2019_3_4_11_42_51,11,6,5,2,24,2,4.67
2019_3_4_11_43_2,11,2,3,2,24,6,2.23
2019_3_4_11_43_5,11,11,6,1,25,6,3.06
2019_3_4_11_43_7,11,4,4,2,23,4,4.07
2019_3_4_11_43_15,11,8,6,2,25,6,2.44
2019_3_4_11_43_21,11,7,4,1,24,6,2
2019_3_4_11_43_27,11,1,1,1,25,5,2.85
2019_3_4_11_43_35,11,4,4,2,24,6,3.37
2019_3_4_11_43_35,11,11,6,1,26,6,4
2019_3_4_11_43_42,11,9,5,1,25,5,3.5
2019_3_4_11_43_45,11,8,6,2,26,3,2.06
2019_3_4_11_43_47,11,10,1,2,25,4,6.38
2019_3_4_11_43_52,11,6,5,2,25,4,3.66
2019_3_4_11_43_57,11,5,3,1,25,6,4.88
2019_3_4_11_44_4,11,1,1,1,26,4,4.3
2019_3_4_11_44_6,11,11,6,1,27,6,2.95
2019_3_4_11_44_6,11,2,3,2,25,6,1.77
2019_3_4_11_44_7,11,3,2,1,25,3,3.63
2019_3_4_11_44_11,11,9,5,1,26,3,1.58
2019_3_4_11_44_14,11,8,6,2,27,6,1.49
2019_3_4_11_44_18,11,12,2,2,25,3,2.47
2019_3_4_11_44_20,11,10,1,2,26,2,7.23
2019_3_4_11_44_22,11,5,3,1,26,6,3.4
2019_3_4_11_44_23,11,7,4,1,25,5,3.66
2019_3_4_11_44_31,11,2,3,2,26,5,2.02
2019_3_4_11_44_33,11,6,5,2,26,6,5.57
2019_3_4_11_44_36,11,1,1,1,27,4,3.54
2019_3_4_11_44_37,11,3,2,1,26,5,4.63
2019_3_4_11_44_44,11,4,4,2,25,5,8.97
2019_3_4_11_44_49,11,10,1,2,27,4,4.05
2019_3_4_11_44_50,11,12,2,2,26,5,1.67
2019_3_4_11_44_52,11,5,3,1,27,6,4.5
2019_3_4_11_44_53,11,9,5,1,27,3,5.56
2019_3_4_11_45_0,11,2,3,2,27,6,1.78
2019_3_4_11_45_1,11,7,4,1,26,4,2.33
2019_3_4_11_45_14,11,3,2,1,27,5,6.52
2019_3_4_11_45_15,11,4,4,2,26,2,6.17
2019_3_4_11_45_18,11,6,5,2,27,6,16.4
2019_3_4_11_45_26,11,12,2,2,27,5,1.23
2019_3_4_11_45_50,11,7,4,1,27,6,4.73
2019_3_4_11_45_59,11,4,4,2,27,6,2.2
2019_3_4_11_46_40,11,9,5,1,28,4,1.62
2019_3_4_11_46_42,11,5,3,1,28,1,3.03
2019_3_4_11_46_43,11,1,1,1,28,5,3.27
2019_3_4_11_46_47,11,11,6,1,28,6,4.46
2019_3_4_11_46_50,11,3,2,1,28,3,4.41
2019_3_4_11_46_56,11,12,3,2,28,5,5.25
2019_3_4_11_46_59,11,6,6,2,28,4,5.84
2019_3_4_11_47_2,11,10,2,2,28,3,3.59
2019_3_4_11_47_4,11,8,1,2,28,5,1.64
2019_3_4_11_47_16,11,7,4,1,28,2,4.2
